_id,nick_name,description,gender,followers_count,follow_count,statuses_count,verified,mbrank,mbtype,user_type,original_count,forward_count
8008992746,xiang瓜瓜,jlxg天天开心哦,0.0,216.0,267.0,416.0,1.0,3.0,12.0,unknown,13.0,9.0
7978511178,Sieooy,魏子宸请加倍肯定自己՞˶･֊･˶՞,1.0,174.0,253.0,322.0,0.0,1.0,2.0,unknown,1.0,13.0
5557225552,灼言宸瓜,all for@TF家族-魏子宸,1.0,1081.0,1002.0,791.0,1.0,2.0,2.0,unknown,13.0,7.0
7894597567,再见柳枝飞絮_,集美你先别急，我这边马上联系套狗的,1.0,705.0,275.0,311.0,1.0,1.0,11.0,unknown,9.0,3.0
7669105993,踢歪太冷特,我什么都吃 属性复杂别骂我了 好友发言立场不代表本人 也别从我互关列表里找事 很多续火加的不熟 和我扩之前先看好我属性 别后面又出警谢谢,0.0,1258.0,401.0,701.0,1.0,3.0,11.0,unknown,15.0,4.0
8254797736,Re_逃离宸世,,1.0,3.0,35.0,688.0,0.0,0.0,0.0,unknown,15.0,5.0
7245856288,江恪安澜,愿世界和平,1.0,135.0,248.0,1062.0,1.0,1.0,11.0,unknown,3.0,18.0
7942187821,烤焦了蕾,私人博   不撕逼，不吵架，专心经营自己的豚咪生活。,1.0,902.0,369.0,1923.0,1.0,1.0,12.0,normal,8.0,8.0
7696613392,卡皮巴橹噜噜,LOVE SONG,1.0,1580.0,467.0,814.0,1.0,2.0,12.0,unknown,2.0,19.0
6027415378,-好运橹续来,杰杰高升🩵,1.0,637.0,635.0,1701.0,1.0,1.0,11.0,unknown,7.0,9.0
9011544530,YfovikW_,,1.0,15.0,96.0,110.0,0.0,0.0,0.0,unknown,14.0,4.0
6198216341,春山茶-,我的有趣程度完全取决于我身边的人是谁,1.0,91.0,60.0,290.0,0.0,1.0,2.0,unknown,12.0,0.0
4083011346,唯爱小渝_01,爱一个连云港男孩,1.0,15.0,37.0,533.0,0.0,0.0,0.0,unknown,7.0,13.0
8380785494,蘸豆组A-02,他把极光揉碎在眼波流转间 我的宇宙从此不再需要北极星导航,0.0,523.0,57.0,947.0,0.0,0.0,0.0,malicious,2.0,18.0
8252157316,蘸豆组A-03,他把极光揉碎在眼波流转间 我的宇宙从此不再需要北极星导航,1.0,517.0,59.0,830.0,0.0,0.0,0.0,unknown,7.0,13.0
8302359480,蘸豆组A-01,你踏过枯叶的沙沙声，是秋天写给世界的最后一封情书,1.0,537.0,59.0,836.0,0.0,0.0,0.0,unknown,6.0,14.0
8223973689,唯爱小渝_03,你眸中盛着银河跌落的碎星，连晚风也偷藏三分薄荷汽水的甜意,1.0,14.0,38.0,565.0,0.0,0.0,0.0,unknown,7.0,13.0
9198539860,蘸豆组A-05,唯爱一人 诗以言志，文以载道,1.0,518.0,62.0,912.0,0.0,0.0,0.0,unknown,6.0,14.0
4076055874,唯爱小鱼A-04,毒唯，爱梓渝,1.0,527.0,75.0,1489.0,0.0,1.0,2.0,unknown,5.0,15.0
8497725975,唯爱小鱼A-02,想寄给你整个夏天的云朵，却收到你歌声里漂浮的岛屿,1.0,524.0,70.0,1463.0,0.0,1.0,2.0,unknown,8.0,12.0
8313409414,唯爱小鱼A-03,像三月的风掠过风铃，你的温柔是散落人间的平仄诗句。,1.0,517.0,75.0,1452.0,0.0,1.0,2.0,unknown,6.0,14.0
4041911494,用户4041911494,,1.0,6.0,4926.0,0.0,0.0,0.0,0.0,malicious,0.0,0.0
8019097775,确资眯铝傻茨Ii,,1.0,13.0,4882.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0
8284482834,泌姿揖谈泼桓pv,,1.0,6.0,4055.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0
6106406834,钦差小小小臣,,1.0,32.0,30.0,4.0,0.0,0.0,0.0,unknown,9.0,0.0
5860126768,Heart·Cat,健康是存款，快乐是利息☘️,1.0,279.0,119.0,162.0,0.0,1.0,11.0,unknown,8.0,6.0
1887897062,白小小小小露,做简单的事情，做简单的人。,1.0,1904.0,481.0,620.0,0.0,2.0,2.0,unknown,1.0,0.0
2778715187,木昜先生的楊,是顺其自然，亦是心之所向。,0.0,361.0,709.0,131.0,0.0,1.0,11.0,unknown,0.0,0.0
7856728044,牛奶萌狗,互关，互关，互关,0.0,180.0,265.0,396.0,0.0,1.0,11.0,unknown,20.0,0.0
6623634706,comeashore-,简单记录着,0.0,578.0,987.0,296.0,1.0,2.0,11.0,unknown,9.0,11.0
7984044237,大眼_小鑫,蜡笔小鑫，至于为什么叫大眼，起源于军训时候眼睛瞪的太大，发发摄影作品。,0.0,1071.0,496.0,128.0,1.0,4.0,12.0,unknown,19.0,1.0
2609085397,故余虽愚zt,,0.0,260.0,190.0,154.0,1.0,5.0,12.0,unknown,20.0,0.0
1726469655,mkomko1988,,0.0,109.0,187.0,31.0,1.0,1.0,11.0,unknown,17.0,3.0
3842985434,永遇乐祥叔,愿此身、初心不改，永远向阳而立。,0.0,1050.0,133.0,128.0,0.0,1.0,11.0,unknown,12.0,8.0
5218797158,036后勤仓库,打球可约,0.0,751.0,973.0,1460.0,1.0,5.0,12.0,unknown,19.0,2.0
2671033851,青春因梦想而炫丽,热爱阅读、喜欢运动的一枚书生！,0.0,605.0,721.0,1074.0,1.0,2.0,11.0,unknown,20.0,0.0
1959435873,amoureuse-,梦醒时见你,1.0,223.0,242.0,43.0,0.0,4.0,2.0,unknown,0.0,0.0
3226670272,教练_球烫手,,0.0,130.0,464.0,13.0,0.0,0.0,0.0,unknown,2.0,4.0
8422529429,-mango很芒-,,1.0,28.0,30.0,3.0,0.0,0.0,0.0,unknown,3.0,0.0
4039944361,罗山老猿,,0.0,27.0,35.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0
6471641613,倒拔垂杨柳的胖麦,,1.0,49.0,176.0,3.0,0.0,0.0,0.0,unknown,1.0,0.0
5991563884,警探蛋蛋,优秀,0.0,40.0,226.0,51.0,0.0,0.0,0.0,unknown,0.0,0.0
6569435593,柳颖超ko,,1.0,158.0,4189.0,2.0,0.0,0.0,0.0,unknown,0.0,0.0
6042972521,期我所遇,一生寥寥，钟情几人。,0.0,14.0,53.0,15.0,0.0,0.0,0.0,unknown,0.0,0.0
6032947444,撒尿和泥玩Ooo,下辈子换个职业吧,0.0,12.0,46.0,6.0,0.0,0.0,0.0,unknown,0.0,0.0
5696513068,1张张啊,,1.0,113.0,388.0,5.0,0.0,0.0,0.0,unknown,1.0,0.0
6375942242,神奇75155,,1.0,2.0,347.0,3.0,0.0,0.0,0.0,unknown,2.0,0.0
5667012420,Loki_offic1aL,,0.0,167.0,150.0,42.0,0.0,1.0,2.0,unknown,0.0,0.0
1869378272,朱佩奇n,,0.0,280.0,397.0,181.0,0.0,1.0,2.0,unknown,1.0,0.0
1581741042,武昕的恶搞,,1.0,539.0,4899.0,8046.0,0.0,4.0,2.0,unknown,0.0,0.0
2919814470,gg战斗暴龙兽1991,,0.0,260.0,2416.0,2000.0,0.0,0.0,0.0,unknown,0.0,0.0
2168478663,blue雪卉hodgepodge,,0.0,405.0,4845.0,3163.0,0.0,0.0,0.0,unknown,0.0,0.0
3044798634,许黎2013,,1.0,229.0,4891.0,6198.0,0.0,0.0,0.0,unknown,0.0,0.0
3043781830,曾敏萱18,,0.0,253.0,4900.0,3733.0,0.0,0.0,0.0,unknown,0.0,0.0
2919809140,gg日番谷冬狮郎1984,,0.0,264.0,4887.0,2885.0,0.0,0.0,0.0,unknown,0.0,0.0
1588455612,世界Joanna,,1.0,462.0,4131.0,7136.0,0.0,0.0,0.0,unknown,0.0,0.0
3043974550,樊誉杰2013,,0.0,207.0,4884.0,1205.0,0.0,0.0,0.0,unknown,0.0,0.0
2920473154,善良莲音公主殿下1981,,1.0,414.0,4885.0,4971.0,0.0,0.0,0.0,unknown,0.0,0.0
5298178175,莹简ym,否极泰来,1.0,24.0,64.0,19.0,0.0,0.0,0.0,unknown,0.0,0.0
5889364507,蜡笔小新的爱_937,,0.0,24.0,138.0,34.0,0.0,1.0,2.0,unknown,0.0,0.0
6580601180,鬧了_mimidou,,1.0,170.0,4775.0,1.0,0.0,0.0,0.0,unknown,0.0,0.0
6580997615,狗渣__amber,,1.0,160.0,4814.0,3.0,0.0,0.0,0.0,unknown,0.0,0.0
2698928431,DEREK_曾启邦,,0.0,745.0,1145.0,892.0,0.0,4.0,2.0,unknown,0.0,0.0
5922636716,暗黑系风雨飘摇河边苇,,1.0,385.0,4835.0,204.0,0.0,0.0,0.0,unknown,0.0,0.0
5919211071,苏钟小家沛,,1.0,694.0,3.0,102.0,0.0,0.0,0.0,unknown,0.0,0.0
1795646161,盧嘉嘉同學,,1.0,207.0,533.0,1641.0,0.0,0.0,0.0,unknown,1.0,0.0
5410298864,搞笑瞎排行,官网瞎排行，职业瞎排二十年！,0.0,183.0,988.0,170.0,0.0,0.0,0.0,unknown,1.0,0.0
2298221830,号我佛山人,,0.0,27.0,298.0,49.0,0.0,0.0,0.0,unknown,0.0,0.0
2633002403,小权热线,我就是我,0.0,257.0,754.0,127.0,0.0,0.0,0.0,unknown,5.0,2.0
2323102271,蒲厷渶___飛,,0.0,96.0,909.0,223.0,0.0,0.0,0.0,unknown,0.0,0.0
1871596897,结结不好惹,美是善的另一种形式~承接新娘跟妆/婚纱礼服租凭/婚纱拍摄商业拍摄 微信号或电联18122126899,1.0,818.0,831.0,1195.0,0.0,0.0,0.0,unknown,0.0,0.0
1738979704,唔够聪明噶魚,,1.0,515.0,562.0,115.0,0.0,0.0,0.0,unknown,0.0,0.0
1743909252,Hoco-liang,,0.0,445.0,2491.0,1816.0,0.0,1.0,2.0,unknown,0.0,0.0
2048915221,K金没有24K,走，我们去玩吧........那，我们去逛街.....要不，我们去旅游吧........ /(ㄒoㄒ)/~~,0.0,302.0,918.0,606.0,0.0,0.0,0.0,unknown,1.0,0.0
3905094849,fourseas9,,0.0,68.0,362.0,9.0,0.0,0.0,0.0,unknown,0.0,0.0
1850849327,欢爱99_558,,0.0,610.0,2885.0,3014.0,0.0,0.0,0.0,unknown,0.0,0.0
1748645495,wu系小狮子,better me,1.0,708.0,788.0,2494.0,0.0,0.0,0.0,unknown,12.0,4.0
